english;ipa;portuguese;level;tags
plasticity;;plasticidade;A1;pack:inedita_v5
positivism;;positivismo;A1;pack:inedita_v5
postpartum;;pós-parto;A1;pack:inedita_v5
planner;;planejador;A1;pack:inedita_v5
planter;;vaso;A1;pack:inedita_v5
plywood;;compensado;A1;pack:inedita_v5
posing;;posando;A1;pack:inedita_v5
postures;;posturas;A1;pack:inedita_v5
postscript;;Pós-escrito;A1;pack:inedita_v5
positron;;pósitron;A1;pack:inedita_v5
pleistocene;;pleistoceno;A1;pack:inedita_v5
playwright;;dramaturgo;A1;pack:inedita_v5
postcard;;cartão postal;A1;pack:inedita_v5
positional;;posicional;A1;pack:inedita_v5
placental;;placentário;A1;pack:inedita_v5
plugged;;conectado;A1;pack:inedita_v5
poisoned;;envenenado;A1;pack:inedita_v5
pont;;ponte;A1;pack:inedita_v5
quaint;;pitoresco;A1;pack:inedita_v5
quarry;;pedreira;A1;pack:inedita_v5
queried;;consultado;A1;pack:inedita_v5
quivering;;trêmulo;A1;pack:inedita_v5
quid;;libra esterlina;A1;pack:inedita_v5
quaternary;;quaternário;A1;pack:inedita_v5
quartet;;quarteto;A1;pack:inedita_v5
quantify;;quantificar;A1;pack:inedita_v5
quaker;;quacre;A1;pack:inedita_v5
quarantine;;quarentena;A1;pack:inedita_v5
quadrant;;quadrante;A1;pack:inedita_v5
quart;;quarto;A1;pack:inedita_v5
quilt;;edredom;A1;pack:inedita_v5
quenching;;têmpera;A1;pack:inedita_v5
quantification;;quantificação;A1;pack:inedita_v5
quantified;;quantificado;A1;pack:inedita_v5
quarrels;;brigas;A1;pack:inedita_v5
qua;;enquanto;A1;pack:inedita_v5
qualitatively;;qualitativamente;A1;pack:inedita_v5
quotient;;quociente;A1;pack:inedita_v5
quran;;Alcorão;A1;pack:inedita_v5
qualifying;;qualificatório;A1;pack:inedita_v5
quadratic;;quadrático;A1;pack:inedita_v5
quam;;quanto;A1;pack:inedita_v5
quakers;;quacres;A1;pack:inedita_v5
quantitatively;;quantitativamente;A1;pack:inedita_v5
qur'an;;Alcorão;A1;pack:inedita_v5
resolute;;resoluto;A1;pack:inedita_v5
repose;;repouso;A1;pack:inedita_v5
rebuke;;repreensão;A1;pack:inedita_v5
relish;;sabor;A1;pack:inedita_v5
retribution;;retribuição;A1;pack:inedita_v5
respite;;respiro;A1;pack:inedita_v5
refute;;refutar;A1;pack:inedita_v5
recoil;;recuar;A1;pack:inedita_v5
remorse;;remorso;A1;pack:inedita_v5
relinquish;;renunciar;A1;pack:inedita_v5
repository;;repositório;A1;pack:inedita_v5
resilience;;resiliência;A1;pack:inedita_v5
repercussions;;repercussões;A1;pack:inedita_v5
relentless;;implacável;A1;pack:inedita_v5
regent;;regente;A1;pack:inedita_v5
replete;;repleto;A1;pack:inedita_v5
renounce;;renunciar;A1;pack:inedita_v5
retorted;;retorquiu;A1;pack:inedita_v5
restitution;;restituição;A1;pack:inedita_v5
repent;;arrepender-se;A1;pack:inedita_v5
repulsion;;repulsão;A1;pack:inedita_v5
revered;;reverenciado;A1;pack:inedita_v5
rendezvous;;encontro;A1;pack:inedita_v5
resentful;;ressentido;A1;pack:inedita_v5
rebound;;rebote;A1;pack:inedita_v5
retrograde;;retrógrado;A1;pack:inedita_v5
retard;;retardado;A1;pack:inedita_v5
repulsive;;repulsivo;A1;pack:inedita_v5
reflexive;;reflexivo;A1;pack:inedita_v5
resilient;;resiliente;A1;pack:inedita_v5
repudiated;;repudiado;A1;pack:inedita_v5
retaliation;;retaliação;A1;pack:inedita_v5
relic;;relíquia;A1;pack:inedita_v5
repudiation;;repúdio;A1;pack:inedita_v5
remnant;;remanescente;A1;pack:inedita_v5
refutation;;refutação;A1;pack:inedita_v5
revert;;reverter;A1;pack:inedita_v5
resurgence;;ressurgimento;A1;pack:inedita_v5
reputed;;reputado;A1;pack:inedita_v5
restlessness;;inquietação;A1;pack:inedita_v5
resolutely;;resolutamente;A1;pack:inedita_v5
replicate;;replicar;A2;pack:inedita_v5
recur;;repetir;A2;pack:inedita_v5
rector;;reitor;A2;pack:inedita_v5
recollect;;recordar;A2;pack:inedita_v5
reliant;;dependente;A2;pack:inedita_v5
restorative;;restaurador;A2;pack:inedita_v5
remuneration;;remuneração;A2;pack:inedita_v5
reclamation;;recuperação;A2;pack:inedita_v5
revolve;;girar;A2;pack:inedita_v5
regressive;;regressivo;A2;pack:inedita_v5
renunciation;;renúncia;A2;pack:inedita_v5
replica;;réplica;A2;pack:inedita_v5
reckoning;;acerto de contas;A2;pack:inedita_v5
referential;;referencial;A2;pack:inedita_v5
receding;;recuando;A2;pack:inedita_v5
registrar;;registrador;A2;pack:inedita_v5
refreshing;;refrescante;A2;pack:inedita_v5
repayment;;reembolso;A2;pack:inedita_v5
relentlessly;;implacavelmente;A2;pack:inedita_v5
referenced;;referenciado;A2;pack:inedita_v5
refrained;;absteve-se;A2;pack:inedita_v5
refraction;;refração;A2;pack:inedita_v5
repeal;;revogar;A2;pack:inedita_v5
reclaim;;reivindicar;A2;pack:inedita_v5
renovation;;reforma;A2;pack:inedita_v5
refuted;;refutado;A2;pack:inedita_v5
refine;;refinar;A2;pack:inedita_v5
repertory;;repertório;A2;pack:inedita_v5
reflux;;refluxo;A2;pack:inedita_v5
repatriation;;repatriação;A2;pack:inedita_v5
reborn;;renascido;A2;pack:inedita_v5
respectfully;;respeitosamente;A2;pack:inedita_v5
reliably;;confiavelmente;A2;pack:inedita_v5
reverted;;revertido;A2;pack:inedita_v5
recounted;;relatado;A2;pack:inedita_v5
reformer;;reformador;A2;pack:inedita_v5
retailer;;varejista;A2;pack:inedita_v5
reformist;;reformista;A2;pack:inedita_v5
relocation;;realocação;A2;pack:inedita_v5
renounced;;renunciado;A2;pack:inedita_v5
regurgitation;;regurgitação;A2;pack:inedita_v5
rebuild;;reconstruir;A2;pack:inedita_v5
revolving;;giratório;A2;pack:inedita_v5
remotely;;remotamente;A2;pack:inedita_v5
resettlement;;reassentamento;A2;pack:inedita_v5
replicated;;replicado;A2;pack:inedita_v5
