id,english,portuguese,level,word_type,example_en,example_pt,missing_example_en,missing_example_pt
42,abandon,abandonar,A1,verb,,,True,True
43,abduct,abduzir,A1,verb,,,True,True
44,abduction,abdução,A1,noun,,,True,True
45,ability,habilidade,A1,noun,,,True,True
46,able,"capacitado, apto",A1,adjective,,,True,True
47,aboard,a bordo,A1,adverb,,,True,True
48,abort,"abortar, interromper",A1,noun,,,True,True
49,abortion,aborto,A1,noun,,,True,True
50,about,"cerca de, mais ou menos; acerca de, a",A1,preposition,,,True,True
53,abrupt,exterior,A1,noun,,,True,True
54,absent,ausente,A1,noun,,,True,True
56,absorb,"absorver, sugar",A1,verb,,,True,True
57,abstain,"abster-se, privar-se de",A1,verb,,,True,True
58,abstract,abstrato; resumir,A1,noun,,,True,True
59,abuse,abusar; abuso,A1,noun,,,True,True
60,accelerate,acelerar,A1,verb,,,True,True
61,accent,"acento, sotaque",A1,noun,,,True,True
62,accept,aceitar,A1,verb,,,True,True
63,access,acesso; entrada,A1,noun,,,True,True
65,accompany,acompanhar,A1,verb,,,True,True
66,accomplish,"concluir, terminar",A1,verb,,,True,True
67,according,"segundo, conforme",A1,verb,,,True,True
68,account,conta,A1,noun,,,True,True
70,accumulate,acumular,A1,verb,,,True,True
71,accuse,acusar,A1,noun,,,True,True
73,ache,dor contínua,A1,noun,,,True,True
74,achieve,completar com sucesso,A1,verb,,,True,True
75,acid,ácido,A1,noun,,,True,True
76,acknowledge,"reconhecer, admitir",A1,verb,,,True,True
77,acquaint,"inteirar, informar",A1,verb,,,True,True
78,acquaintance,"conhecido, familiar; relação, trato",A1,noun,,,True,True
79,acquire,"adquirir, possuir",A1,verb,,,True,True
80,acquit,"quitar; isentar, inocentar",A1,verb,,,True,True
81,across,através,A1,preposition,,,True,True
83,action,ação,A1,noun,,,True,True
84,active,ativo,A1,noun,,,True,True
86,actual,"real, existente",A1,noun,,,True,True
87,ad,anúncio,A1,noun,,,True,True
88,adapt,adaptar,A1,verb,,,True,True
89,add,"acrescentar, somar, adicionar",A1,verb,,,True,True
90,addict,"viciado, adicto",A1,noun,,,True,True
91,addition,"soma, adição",A1,noun,,,True,True
92,additional,"adicional, suplementar",A1,noun,,,True,True
93,address,endereçar; endereço,A1,noun,,,True,True
94,adequate,adequado,A1,verb,,,True,True
95,adhesive,"adesivo, aderente",A1,noun,,,True,True
96,adjust,ajustar,A1,verb,,,True,True
97,administration,administração,A1,noun,,,True,True
98,admire,admirar,A1,verb,,,True,True
99,admission,"admissão, permissão",A1,noun,,,True,True
100,admit,admitir,A1,verb,,,True,True
101,adopt,adotar,A1,verb,,,True,True
102,adore,adorar,A1,verb,,,True,True
103,adorn,"decorar, adornar",A1,noun,,,True,True
104,adult,adulto,A1,noun,,,True,True
105,advance,avançar; adiantamento,A1,noun,,,True,True
106,advantage,vantagem; favorecer,A1,noun,,,True,True
107,adventure,aventura,A1,noun,,,True,True
108,advertise,anunciar,A1,verb,,,True,True
109,advertisement,anúncio,A1,noun,,,True,True
110,advice,conselho,A1,noun,,,True,True
111,advise,aconselhar,A1,verb,,,True,True
112,advocate,"defensor; ædvəkeɪt advogar, defender",A1,noun,,,True,True
113,aerial,aéreo,A1,noun,,,True,True
117,affirm,afirmar,A1,verb,,,True,True
118,afford,proporcionar; ter dinheiro para,A1,verb,,,True,True
119,afraid,com medo,A1,adjective,,,True,True
122,after,depois de,A1,preposition,,,True,True
125,again,"de novo, outra vez",A1,adverb,,,True,True
126,against,contra,A1,preposition,,,True,True
127,age,idade,A1,noun,,,True,True
128,agency,agência,A1,noun,,,True,True
129,agent,agente,A1,noun,,,True,True
130,ago,atrás [tempo],A1,adjective,,,True,True
131,agree,concordar,A1,verb,,,True,True
132,agreement,acordo; consentimento,A1,noun,,,True,True
133,aggregate,"agregar, juntar; ægrəgət agregado,",A1,noun,,,True,True
134,aggressive,agressivo,A1,adjective,,,True,True
135,agile,ágil,A1,adjective,,,True,True
136,agriculture,agricultura,A1,noun,,,True,True
137,ah,ah [alívio; prazer],A1,pronoun,,,True,True
138,ahead,em frente,A1,adverb,,,True,True
139,aid,"ajuda, auxílio; ajudar, auxiliar",A1,noun,,,True,True
140,ail,"socorro, ajuda",A1,noun,,,True,True
141,aim,"propósito, alvo",A1,noun,,,True,True
142,air,ar,A1,noun,,,True,True
143,air-conditioning,sistema de ar condicionado,A1,noun,,,True,True
144,aircraft,"aeronave, avião",A1,noun,,,True,True
145,airline,companhia aérea,A1,noun,,,True,True
147,airport,aeroporto,A1,noun,,,True,True
148,aisle,corredor,A1,noun,,,True,True
149,alarm,alarme,A1,noun,,,True,True
150,alcohol,álcool,A1,noun,,,True,True
151,alert,alerta; alertar,A1,noun,,,True,True
152,alias,"vulgo, também conhecido como;",A1,noun,,,True,True
158,alley,"beco, viela",A1,noun,,,True,True
159,alliance,"aliança, união",A1,noun,,,True,True
161,allow,permitir,A1,verb,,,True,True
162,almost,quase,A1,adverb,,,True,True
163,alone,"só, sozinho",A1,adjective,,,True,True
164,along,ao longo de,A1,adverb,,,True,True
165,aloud,em voz alta,A1,adjective,,,True,True
166,alphabet,alfabeto,A1,noun,,,True,True
168,also,também,A1,adverb,,,True,True
169,altar,altar,A1,noun,,,True,True
170,alter,alterar,A1,verb,,,True,True
171,alternative,alternativa,A1,noun,,,True,True
172,although,embora,A1,conjunction,,,True,True
173,altogether,"completamente, inteiramente",A1,adverb,,,True,True
174,aluminum,alumínio,A1,noun,,,True,True
175,always,sempre,A1,adverb,,,True,True
177,a.m,antes do meio dia,A1,,,,True,True
178,amateur,antes do meio-dia,A1,noun,,,True,True
179,amazing,amador,A1,verb,,,True,True
180,ambition,surpreendente,A1,noun,,,True,True
181,ambulance,ambulância,A1,noun,,,True,True
182,amend,"emendar, corrigir, retificar",A1,noun,,,True,True
185,among,entre [mais de dois],A1,preposition,,,True,True
186,amount,"quantia; valor, soma",A1,noun,,,True,True
187,ample,"amplo, espaçoso",A1,adjective,,,True,True
188,amuse,"divertir, entreter",A1,verb,,,True,True
189,an,"um, uma",A1,determiner,,,True,True
190,analysis,análise,A1,noun,,,True,True
192,ancestor,ancestral,A1,noun,,,True,True
193,anchor,âncora,A1,noun,,,True,True
194,ancient,"antigo, velho",A1,noun,,,True,True
195,angel,anjo,A1,noun,,,True,True
196,angle,ângulo,A1,noun,,,True,True
